what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322774971574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322774979257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775039489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322775045045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1322775045084
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322775068825
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775100485
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775123717
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775150251
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775215824
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322775223660
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775311706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775365848
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775398654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1322775402114
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1322775406317
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775411046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1322775422538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1322775426909
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775431083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1322775434076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775438618
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775448765
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322775663891
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322775699292
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775800718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775820597
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775828706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775875369
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322775985266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322775989854
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322776497245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322776502326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322776521227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322776528337
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322776843509
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1322776852197
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322776852303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322776884824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322776901948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322776904476
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322777115748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322777151467
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1322777156134
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textEnd",1322777158880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322777173443
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322778389535
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322778393976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322778467538
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322778467764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322778470115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322778525327
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1322778525383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322778534310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322778542820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322778553150
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textEnd",1322778629744
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322778630983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322778635828
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1322778638248
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322778644860
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1322778653610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1322778659619
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322778663810
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322778663968
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1322778666810
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322778667133
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1322778669301
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322778669646
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322778690540
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322778713476
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1322778725829
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322778726034
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322778730516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1322778730552
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322778737088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322778742599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1322778742640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1322778746627
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322778748355
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1322778751665
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322778751979
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1322778756610
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1322778758753
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1322778759099
